Number_of_People,Counters_Open,Avg_Service_Time,Time_of_Day,Queue_Type,Waiting_Time
107,8,10,12,Hospital,161.96
275,8,11,3,Hospital,398.24
111,7,5,17,Hospital,104.86
76,10,18,23,Office,156.83
193,4,15,22,Hospital,747.52
25,4,19,0,Bank,126.5
107,3,12,1,Bank,439.2
126,5,17,1,Hospital,444.28
219,3,2,3,Office,161.09
92,13,8,2,Office,63.44
104,8,11,16,Hospital,157.47
156,7,10,13,Office,235.88
135,13,4,1,Office,49.93
154,3,15,15,Office,781.46
262,9,16,10,Hospital,484.63
298,12,3,12,Bank,87.32
196,14,15,0,Bank,226.64
281,13,17,22,Bank,374.22
165,5,8,1,Bank,283.35
26,9,5,1,Bank,31.01
257,7,19,20,Office,716.1
240,7,6,4,Office,221.79
53,6,7,3,Office,79.07
63,2,8,11,Hospital,280.31
174,9,16,2,Office,332.9
192,6,2,19,Bank,83.34
275,8,5,9,Office,187.16
194,1,2,19,Bank,401.88
179,5,12,17,Office,454.0
55,12,19,20,Bank,92.72
59,1,15,20,Office,897.77
248,10,12,20,Bank,307.71
135,11,11,9,Bank,151.3
139,14,18,0,Hospital,205.12
25,8,5,5,Office,29.01
171,8,16,10,Bank,341.44
278,1,17,1,Office,4742.72
93,9,14,6,Bank,148.24
18,2,10,19,Hospital,99.57
246,12,12,20,Hospital,257.15
269,9,12,20,Hospital,380.95
57,1,7,20,Hospital,428.53
96,12,2,17,Bank,26.27
268,10,7,20,Office,204.08
39,14,14,18,Hospital,67.28
210,14,6,3,Hospital,99.19
85,9,16,12,Hospital,174.75
54,4,19,17,Office,271.42
6,9,15,19,Bank,23.96
58,7,16,23,Bank,139.19
110,11,6,12,Bank,64.27
264,6,5,18,Bank,230.98
195,5,3,16,Office,143.54
222,11,8,0,Office,182.48
48,9,11,5,Office,70.11
166,2,17,18,Hospital,1421.61
206,14,11,19,Office,165.08
274,13,19,0,Bank,419.67
275,11,18,7,Office,458.31
219,14,14,16,Hospital,236.72
256,12,2,20,Bank,61.92
194,2,2,21,Office,197.7
217,11,16,14,Bank,336.08
212,12,2,17,Bank,43.56
241,9,7,6,Office,194.4
57,12,14,15,Office,79.77
284,3,2,6,Hospital,204.28
221,8,6,16,Office,183.84
256,11,10,3,Office,243.19
192,9,18,11,Office,385.62
45,8,17,12,Bank,104.08
161,4,9,3,Hospital,372.75
19,12,18,20,Bank,39.93
69,1,16,0,Office,1110.69
13,4,2,0,Hospital,23.08
133,14,13,6,Office,139.78
140,9,6,8,Bank,101.85
67,2,7,0,Bank,246.25
143,3,2,15,Office,115.1
85,10,2,17,Hospital,28.89
167,8,11,21,Bank,239.17
293,6,11,14,Office,528.86
265,8,4,5,Office,149.23
235,7,18,1,Office,617.18
45,14,12,8,Hospital,51.69
32,13,19,3,Office,63.98
139,13,3,12,Office,55.29
205,5,10,22,Bank,416.67
272,9,18,21,Office,552.39
37,4,15,10,Hospital,159.91
52,6,5,12,Office,48.98
66,2,18,10,Hospital,609.38
220,2,18,18,Office,2003.56
297,2,13,7,Office,1945.94
103,10,19,6,Office,197.54
176,7,4,15,Hospital,107.99
218,13,12,2,Bank,212.37
39,2,19,16,Hospital,396.54
231,12,5,17,Bank,94.93
105,13,18,14,Hospital,168.53
135,2,19,16,Office,1306.81
261,9,6,10,Office,202.22
9,7,15,4,Bank,31.6
222,11,11,15,Bank,235.55
259,3,16,14,Hospital,1386.4
287,3,2,9,Hospital,226.03
211,7,17,13,Bank,518.4
19,5,12,1,Bank,49.07
46,10,7,15,Hospital,50.41
183,14,17,18,Bank,242.8
67,14,3,7,Bank,39.81
235,6,2,14,Bank,89.21
245,13,10,9,Bank,205.45
56,12,13,4,Office,75.97
100,8,18,19,Office,232.74
226,9,16,15,Bank,422.11
235,1,11,20,Hospital,2600.65
241,3,13,21,Office,1070.08
147,11,15,11,Hospital,229.54
175,7,10,22,Hospital,274.3
33,6,14,12,Office,104.8
40,7,4,8,Hospital,58.48
17,8,15,16,Hospital,50.65
164,6,11,19,Bank,305.01
191,3,17,11,Bank,1079.28
247,2,8,4,Bank,1013.71
90,12,5,23,Office,49.42
288,7,12,11,Bank,511.66
70,12,17,0,Hospital,113.98
174,12,5,19,Hospital,103.27
49,12,18,15,Hospital,88.6
66,11,14,11,Hospital,95.66
138,1,12,8,Hospital,1674.54
288,3,4,12,Office,395.28
32,12,10,16,Hospital,50.84
112,11,7,16,Office,85.91
48,4,12,3,Hospital,168.39
290,13,17,13,Office,392.19
132,14,6,18,Office,66.92
235,1,15,6,Hospital,3540.92
194,5,18,2,Hospital,732.71
229,10,4,0,Hospital,113.18
287,3,5,11,Hospital,484.45
125,2,17,14,Bank,1068.86
120,3,17,10,Bank,690.68
237,8,5,9,Office,176.04
263,6,18,1,Office,811.2
202,13,14,3,Bank,221.09
141,14,2,16,Office,52.07
169,7,13,16,Hospital,333.64
229,12,5,7,Office,119.14
238,6,12,22,Office,482.91
176,6,6,13,Office,174.21
156,12,3,23,Bank,39.14
164,3,18,3,Bank,971.25
100,12,9,5,Office,104.78
